Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
1998,Canada,Syrian Arab Rep.,333,,,,,,,333
1998,Switzerland,Syrian Arab Rep.,59,,,,,,,59
1998,Côte d'Ivoire,Syrian Arab Rep.,3,,,,,,,3
1998,Cyprus,Syrian Arab Rep.,5,,,,,,,5
1998,Denmark,Syrian Arab Rep.,144,,,,,,,144
1998,Ecuador,Syrian Arab Rep.,15,,,,,,,15
1998,Spain,Syrian Arab Rep.,10,,,,,,,10
1998,Finland,Syrian Arab Rep.,27,,,,,,,27
1998,France,Syrian Arab Rep.,192,,,,,,,192
1998,United Kingdom,Syrian Arab Rep.,5,,,,,,,5
1998,Israel,Syrian Arab Rep.,5,,,,,,,5
1998,Italy,Syrian Arab Rep.,28,,,,,,,28
1998,Jordan,Syrian Arab Rep.,10,,,,,,,10
1998,Kazakhstan,Syrian Arab Rep.,3,,,,,,,3
1998,Libya,Syrian Arab Rep.,9,,,,,,,9
1998,Malta,Syrian Arab Rep.,1,,,,,,,1
1998,Netherlands,Syrian Arab Rep.,1711,,,,,,,1711
1998,Norway,Syrian Arab Rep.,71,,,,,,,71
1998,New Zealand,Syrian Arab Rep.,24,,,,,,,24
1998,Peru,Syrian Arab Rep.,3,,,,,,,3
1998,Poland,Syrian Arab Rep.,14,,,,,,,14
1998,Romania,Syrian Arab Rep.,8,,,,,,,8
1998,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,1,,,,,,,1
1998,Sweden,Syrian Arab Rep.,3014,,,,,,,3014
1998,Tunisia,Syrian Arab Rep.,5,,,,,,,5
1998,Ukraine,Syrian Arab Rep.,23,,,,,,,23
1998,United States of America,Syrian Arab Rep.,2165,,,,,,,2165
1999,United Arab Emirates,Syrian Arab Rep.,17,,,,,,,17
1999,Australia,Syrian Arab Rep.,39,,,,,,,39
1999,Austria,Syrian Arab Rep.,85,,,,,,,85
1999,Belgium,Syrian Arab Rep.,103,,,,,,,103
1999,Bulgaria,Syrian Arab Rep.,2,,,,,,,2
1999,Canada,Syrian Arab Rep.,364,,,,,,,364
1999,Switzerland,Syrian Arab Rep.,109,,,,,,,109
1999,Côte d'Ivoire,Syrian Arab Rep.,3,,,,,,,3
1999,Cyprus,Syrian Arab Rep.,15,,,,,,,15
1999,Denmark,Syrian Arab Rep.,231,,,,,,,231
1999,Ecuador,Syrian Arab Rep.,15,,,,,,,15
1999,Spain,Syrian Arab Rep.,18,,,,,,,18
1999,Finland,Syrian Arab Rep.,27,,,,,,,27
1999,France,Syrian Arab Rep.,174,,,,,,,174
1999,United Kingdom,Syrian Arab Rep.,5,,,,,,,5
1999,Hungary,Syrian Arab Rep.,2,,,,,,,2
1999,Ireland,Syrian Arab Rep.,2,,,,,,,2
1999,Israel,Syrian Arab Rep.,4,,,,,,,4
1999,Italy,Syrian Arab Rep.,21,,,,,,,21
1999,Jordan,Syrian Arab Rep.,1,,,,,,,1
1999,Kazakhstan,Syrian Arab Rep.,3,,,,,,,3
1999,Malta,Syrian Arab Rep.,1,,,,,,,1
1999,Netherlands,Syrian Arab Rep.,1654,,,,,,,1654
1999,Norway,Syrian Arab Rep.,120,,,,,,,120
1999,New Zealand,Syrian Arab Rep.,17,,,,,,,17
1999,Peru,Syrian Arab Rep.,3,,,,,,,3
1999,Poland,Syrian Arab Rep.,14,,,,,,,14
1999,Romania,Syrian Arab Rep.,14,,,,,,,14
1999,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,1,,,,,,,1
1999,Sweden,Syrian Arab Rep.,2419,,,,,,,2419
1999,Tunisia,Syrian Arab Rep.,5,,,,,,,5
1999,Ukraine,Syrian Arab Rep.,29,,,,,,,29
1999,United States of America,Syrian Arab Rep.,1178,,,,,,,1178
2000,United Arab Emirates,Syrian Arab Rep.,43,49,,,,,,92
2000,Australia,Syrian Arab Rep.,61,61,,,,,,122
2000,Austria,Syrian Arab Rep.,85,,,,,,,85
2000,Azerbaijan,Syrian Arab Rep.,1,,,,,,,1
2000,Belgium,Syrian Arab Rep.,102,,,,,,,102
2000,Benin,Syrian Arab Rep.,1,1,,,,,,2
2000,Bulgaria,Syrian Arab Rep.,11,25,,,,,,36
2000,Belarus,Syrian Arab Rep.,,3,,,,,,3
2000,Belize,Syrian Arab Rep.,,15,,,,,,15
2000,Brazil,Syrian Arab Rep.,5,,,,,,,5
2000,Canada,Syrian Arab Rep.,390,98,,,,,,488
2000,Switzerland,Syrian Arab Rep.,137,152,,,,,,289
2000,Côte d'Ivoire,Syrian Arab Rep.,3,,,,,,,3
2000,Cuba,Syrian Arab Rep.,6,,,,,,,6
2000,Cyprus,Syrian Arab Rep.,4,4,,,,,,8
2000,Czech Rep.,Syrian Arab Rep.,,15,,,,,,15
2000,Germany,Syrian Arab Rep.,,1046,,,,,,1046
2000,Denmark,Syrian Arab Rep.,219,39,,,,,,258
2000,Algeria,Syrian Arab Rep.,4,,,,,,,4
2000,Ecuador,Syrian Arab Rep.,15,,,,,,,15
2000,Egypt,Syrian Arab Rep.,,1,,,,,,1
2000,Eritrea,Syrian Arab Rep.,,,1,,,,,1
2000,Spain,Syrian Arab Rep.,18,,,,,,,18
2000,Finland,Syrian Arab Rep.,26,,,,,,,26
2000,France,Syrian Arab Rep.,148,,,,,,,148
2000,Greece,Syrian Arab Rep.,30,3,,,,,,33
2000,Hungary,Syrian Arab Rep.,8,8,,,,,,16
2000,Indonesia,Syrian Arab Rep.,,1,,,,,,1
2000,Ireland,Syrian Arab Rep.,2,,,,,,,2
2000,Iraq,Syrian Arab Rep.,49,78,2,,,,,129
2000,Iceland,Syrian Arab Rep.,1,,,,,,,1
2000,Israel,Syrian Arab Rep.,4,4,1,,,,,9
2000,Italy,Syrian Arab Rep.,24,,,,,,,24
2000,Jordan,Syrian Arab Rep.,2,110,,,,,,112
2000,Kazakhstan,Syrian Arab Rep.,3,,,,,,,3
2000,Morocco,Syrian Arab Rep.,9,,,,,,,9
2000,Rep. of Moldova,Syrian Arab Rep.,,2,,,,,,2
2000,Malta,Syrian Arab Rep.,1,,,,,,,1
2000,Netherlands,Syrian Arab Rep.,1618,1829,,,,,,3447
2000,Norway,Syrian Arab Rep.,113,,,,,,,113
2000,New Zealand,Syrian Arab Rep.,42,,,,,,,42
2000,Oman,Syrian Arab Rep.,,1,,,,,,1
2000,Pakistan,Syrian Arab Rep.,,3,,,,,,3
2000,Peru,Syrian Arab Rep.,3,,,,,,,3
2000,Poland,Syrian Arab Rep.,14,,,,,,,14
2000,Qatar,Syrian Arab Rep.,6,,,,,,,6
2000,Romania,Syrian Arab Rep.,14,,,,,,,14
2000,Saudi Arabia,Syrian Arab Rep.,6,8,,,,,,14
2000,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,1,1,,,,,,2
2000,Slovakia,Syrian Arab Rep.,2,1,,,,,,3
2000,Sweden,Syrian Arab Rep.,2028,,,,,,,2028
2000,Tunisia,Syrian Arab Rep.,5,,,,,,,5
2000,Turkey,Syrian Arab Rep.,1,2,,,,,,3
2000,Ukraine,Syrian Arab Rep.,36,3,,,,,,39
2000,United States of America,Syrian Arab Rep.,560,168,,,,,,728
2000,Yemen,Syrian Arab Rep.,10,1,,,,,,11
2001,United Arab Emirates,Syrian Arab Rep.,39,52,,,,,,91
2001,Australia,Syrian Arab Rep.,73,48,,,,,,121
2001,Austria,Syrian Arab Rep.,79,,,,,,,79
2001,Azerbaijan,Syrian Arab Rep.,1,1,,,,,,2
2001,Belgium,Syrian Arab Rep.,47,,,,,,,47
2001,Benin,Syrian Arab Rep.,1,,,,,,,1
2001,Bulgaria,Syrian Arab Rep.,58,,,,,,,58
2001,Bosnia and Herzegovina,Syrian Arab Rep.,,2,,,,,,2
2001,Belarus,Syrian Arab Rep.,,3,,,,,,3
2001,Brazil,Syrian Arab Rep.,5,,,,,,,5
2001,Canada,Syrian Arab Rep.,427,134,,,,,,561
2001,Switzerland,Syrian Arab Rep.,157,185,,,,,,342
2001,Côte d'Ivoire,Syrian Arab Rep.,3,,,,,,,3
2001,Cyprus,Syrian Arab Rep.,4,26,,,,,,30
2001,Czech Rep.,Syrian Arab Rep.,7,16,,,,,,23
2001,Germany,Syrian Arab Rep.,,1152,,,,,,1152
2001,Denmark,Syrian Arab Rep.,169,68,,,,,,237
2001,Algeria,Syrian Arab Rep.,8,,,,,,,8
2001,Ecuador,Syrian Arab Rep.,2,,,,,,,2
2001,Egypt,Syrian Arab Rep.,2,8,,,,,,10
2001,Spain,Syrian Arab Rep.,20,,,,,,,20
2001,Estonia,Syrian Arab Rep.,,4,,,,,,4
2001,Finland,Syrian Arab Rep.,32,,,,,,,32
2001,France,Syrian Arab Rep.,192,,,,,,,192
2001,Greece,Syrian Arab Rep.,41,4,,,,,,45
2001,Hungary,Syrian Arab Rep.,9,1,,,,,,10
2001,Indonesia,Syrian Arab Rep.,,1,,,,,,1
2001,Ireland,Syrian Arab Rep.,9,,,,,,,9
2001,Iraq,Syrian Arab Rep.,101,11,,,,,,112
2001,Iceland,Syrian Arab Rep.,1,,,,,,,1
2001,Israel,Syrian Arab Rep.,,3,,,,,,3
2001,Italy,Syrian Arab Rep.,22,,,,,,,22
2001,Jordan,Syrian Arab Rep.,2,160,,,,,,162
2001,Kazakhstan,Syrian Arab Rep.,1,,,,,,,1
2001,Morocco,Syrian Arab Rep.,9,,,,,,,9
2001,Rep. of Moldova,Syrian Arab Rep.,,1,,,,,,1
2001,Malta,Syrian Arab Rep.,1,1,,,,,,2
2001,Netherlands,Syrian Arab Rep.,1518,1764,,,,,,3282
2001,Norway,Syrian Arab Rep.,105,,,,,,,105
2001,New Zealand,Syrian Arab Rep.,42,,,,,,,42
2001,Oman,Syrian Arab Rep.,,1,,,,,,1
2001,Pakistan,Syrian Arab Rep.,,1,,,,,,1
2001,Peru,Syrian Arab Rep.,3,1,,,,,,4
2001,Poland,Syrian Arab Rep.,16,,,,,,,16
2001,Qatar,Syrian Arab Rep.,6,,,,,,,6
2001,Romania,Syrian Arab Rep.,16,,,,,,,16
2001,Saudi Arabia,Syrian Arab Rep.,6,13,,,,,,19
2001,Sudan,Syrian Arab Rep.,,1,,,,,,1
2001,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,,1,,,,,,1
2001,Slovakia,Syrian Arab Rep.,2,7,,,,,,9
2001,Sweden,Syrian Arab Rep.,1268,,,,,,,1268
2001,Tunisia,Syrian Arab Rep.,5,,,,,,,5
2001,Turkey,Syrian Arab Rep.,6,2,,,,,,8
2001,Ukraine,Syrian Arab Rep.,44,8,,,,,,52
2001,United States of America,Syrian Arab Rep.,297,182,,,,,,479
2001,Uzbekistan,Syrian Arab Rep.,,1,,,,,,1
2001,Yemen,Syrian Arab Rep.,13,,,,,,,13
2001,South Africa,Syrian Arab Rep.,,1,,,,,,1
2002,United Arab Emirates,Syrian Arab Rep.,18,60,,,,,,78
2002,Australia,Syrian Arab Rep.,72,20,,,,,,92
2002,Austria,Syrian Arab Rep.,61,,,,,,,61
2002,Azerbaijan,Syrian Arab Rep.,1,,,,,,,1
2002,Belgium,Syrian Arab Rep.,31,,,,,,,31
2002,Benin,Syrian Arab Rep.,1,,,,,,,1
2002,Bulgaria,Syrian Arab Rep.,61,,,,,,,61
2002,Bosnia and Herzegovina,Syrian Arab Rep.,,1,,,,,,1
2002,Belarus,Syrian Arab Rep.,,2,,,,,,2
2002,Brazil,Syrian Arab Rep.,5,1,,,,,,6
2002,Canada,Syrian Arab Rep.,432,142,,,,,,574
2002,Switzerland,Syrian Arab Rep.,180,254,,,,,,434
2002,Côte d'Ivoire,Syrian Arab Rep.,3,,,,,,,3
2002,Cyprus,Syrian Arab Rep.,7,20,,,,,,27
2002,Czech Rep.,Syrian Arab Rep.,10,7,,,,,,17
2002,Germany,Syrian Arab Rep.,14398,1279,,,,,,15677
2002,Denmark,Syrian Arab Rep.,180,49,,,,,,229
2002,Algeria,Syrian Arab Rep.,4,,,,,,,4
2002,Egypt,Syrian Arab Rep.,2,9,,,,,,11
2002,Spain,Syrian Arab Rep.,20,,,,,,,20
2002,Finland,Syrian Arab Rep.,25,,,,,,,25
2002,France,Syrian Arab Rep.,207,,,,,,,207
2002,Greece,Syrian Arab Rep.,55,4,,,,,,59
2002,Hungary,Syrian Arab Rep.,10,10,,,,,,20
2002,Indonesia,Syrian Arab Rep.,1,1,,,,,,2
2002,Ireland,Syrian Arab Rep.,13,,,,,,,13
2002,Iraq,Syrian Arab Rep.,100,6,,,,,,106
2002,Iceland,Syrian Arab Rep.,1,,,,,,,1
2002,Israel,Syrian Arab Rep.,,1,,,,,,1
2002,Italy,Syrian Arab Rep.,36,,,,,,,36
2002,Jordan,Syrian Arab Rep.,5,65,1,,,,,71
2002,Kyrgyzstan,Syrian Arab Rep.,,1,,,,,,1
2002,Morocco,Syrian Arab Rep.,9,,,,,,,9
2002,Rep. of Moldova,Syrian Arab Rep.,,3,,,,,,3
2002,Mexico,Syrian Arab Rep.,,1,,,,,,1
2002,Malta,Syrian Arab Rep.,4,,,,,,,4
2002,Netherlands,Syrian Arab Rep.,1454,1256,,,,,,2710
2002,Norway,Syrian Arab Rep.,107,,,,,,,107
2002,New Zealand,Syrian Arab Rep.,35,,,,,,,35
2002,Oman,Syrian Arab Rep.,,1,,,,,,1
2002,Pakistan,Syrian Arab Rep.,,1,,,,,,1
2002,Peru,Syrian Arab Rep.,2,2,,,,,,4
2002,Poland,Syrian Arab Rep.,16,1,,,,,,17
2002,Romania,Syrian Arab Rep.,16,3,,,,,,19
2002,Saudi Arabia,Syrian Arab Rep.,,1,,,,,,1
2002,Sudan,Syrian Arab Rep.,1,,,,,,,1
2002,Slovakia,Syrian Arab Rep.,,5,,,,,,5
2002,Sweden,Syrian Arab Rep.,970,871,,,,,,1841
2002,Tunisia,Syrian Arab Rep.,5,,,,,,,5
2002,Turkey,Syrian Arab Rep.,6,5,,,,,,11
2002,Ukraine,Syrian Arab Rep.,45,,,,,,,45
2002,United States of America,Syrian Arab Rep.,291,190,,,,,,481
2002,Uzbekistan,Syrian Arab Rep.,,2,,,,,,2
2002,Yemen,Syrian Arab Rep.,13,1,,,,,,14
2003,United Arab Emirates,Syrian Arab Rep.,18,27,,,,,,45
2003,Armenia,Syrian Arab Rep.,,3,,,,,,3
2003,Australia,Syrian Arab Rep.,71,19,,,,,,90
2003,Austria,Syrian Arab Rep.,61,,,,,,,61
2003,Azerbaijan,Syrian Arab Rep.,1,,,,,,,1
2003,Belgium,Syrian Arab Rep.,19,170,,,,,,189
2003,Benin,Syrian Arab Rep.,1,,,,,,,1
2003,Bulgaria,Syrian Arab Rep.,65,,,,,,,65
2003,Bosnia and Herzegovina,Syrian Arab Rep.,1,1,,,,,,2
2003,Belarus,Syrian Arab Rep.,,2,,,,,,2
2003,Brazil,Syrian Arab Rep.,5,2,,,,,,7
2003,Canada,Syrian Arab Rep.,424,162,,,,,,586
2003,Switzerland,Syrian Arab Rep.,178,135,,,,,,313
2003,Côte d'Ivoire,Syrian Arab Rep.,3,,,,,,,3
2003,Cyprus,Syrian Arab Rep.,13,44,,,,,,57
2003,Czech Rep.,Syrian Arab Rep.,14,3,,,,,,17
2003,Germany,Syrian Arab Rep.,15745,703,,,,,,16448
2003,Denmark,Syrian Arab Rep.,172,28,,,,,,200
2003,Algeria,Syrian Arab Rep.,3,1,,,,,,4
2003,Ecuador,Syrian Arab Rep.,,1,,,,,,1
2003,Egypt,Syrian Arab Rep.,6,12,,,,,,18
2003,Spain,Syrian Arab Rep.,15,,,,,,,15
2003,Finland,Syrian Arab Rep.,34,,,,,,,34
2003,France,Syrian Arab Rep.,191,,,,,,,191
2003,United Kingdom,Syrian Arab Rep.,16,,,,,,,16
2003,Greece,Syrian Arab Rep.,55,12,,,,,,67
2003,Hungary,Syrian Arab Rep.,17,12,,,,,,29
2003,Indonesia,Syrian Arab Rep.,1,,,,,,,1
2003,Ireland,Syrian Arab Rep.,15,16,,,,,,31
2003,Iraq,Syrian Arab Rep.,643,6,,,,,,649
2003,Iceland,Syrian Arab Rep.,1,,,,,,,1
2003,Italy,Syrian Arab Rep.,35,,,,,,,35
2003,Jordan,Syrian Arab Rep.,28,68,,,,,,96
2003,Kyrgyzstan,Syrian Arab Rep.,,18,,,,,,18
2003,Morocco,Syrian Arab Rep.,9,1,,,,,,10
2003,Rep. of Moldova,Syrian Arab Rep.,,12,,,,,,12
2003,Mexico,Syrian Arab Rep.,,1,,,,,,1
2003,Malta,Syrian Arab Rep.,7,,,,,,,7
2003,Malaysia,Syrian Arab Rep.,,1,,,,,,1
2003,Netherlands,Syrian Arab Rep.,1479,840,,,,,,2319
2003,Norway,Syrian Arab Rep.,93,,,,,,,93
2003,New Zealand,Syrian Arab Rep.,39,4,,,,,,43
2003,Oman,Syrian Arab Rep.,,1,,,,,,1
2003,Pakistan,Syrian Arab Rep.,7,,,,,,,7
2003,Peru,Syrian Arab Rep.,1,2,,,,,,3
2003,Poland,Syrian Arab Rep.,16,3,,,,,,19
